Date,StartTime,EndTime,Topic,Partner,Excite,Serious,Smooth,Bright,Eminet,Close,Equal,Relax,Sadness,Excited,Fear,Disgust,Joy,Unhappy-Happy,Calm-Excited,Controlled-Incontrol
27-Dec,15:36:15PM,15:39:15PM,Ö°Òµ,cui,4,2,4,4,1,2,1,5,1,1,1,1,3,7,1,9
27-Dec,15:44:00PM,15:47:00PM,·ßÅ­,cui,1,2,1,2,4,1,1,4,1,4,1,1,5,3,6,7
27-Dec,15:50:20PM,15:53:50PM,º¦ÅÂ,cui,1,4,2,4,4,4,2,2,2,4,4,1,2,3,7,1
27-Dec,15:57:05PM,16:00:05PM,±¯ÉË,cui,2,1,2,4,1,1,1,4,4,2,2,4,2,3,5,3
