Date,StartTime,EndTime,Topic,Partner,Excite,Serious,Smooth,Bright,Eminet,Close,Equal,Relax,Sadness,Excited,Fear,Disgust,Joy,Unhappy-Happy,Calm-Excited,Controlled-Incontrol
23-Dec,17:34:00PM,17:37:00PM,爱好,Yang,2,4,1,2,1,1,1,4,1,1,1,1,3,6,4,6
23-Dec,17:51:00PM,17:54:00PM,宠物,Yang,2,1,2,4,2,2,1,2,4,1,1,1,2,3,2,2
23-Dec,17:58:00PM,18:01:00PM,悲伤,Yang,1,1,2,4,2,2,2,4,4,1,1,1,1,2,3,4
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
