Date,StartTime,EndTime,Topic,Partner,Excite,Serious,Smooth,Bright,Eminet,Close,Equal,Relax,Sadness,Excited,Fear,Disgust,Joy,Unhappy-Happy,Calm-Excited,Controlled-Incontrol
23-Dec,15:36:15PM,15:39:15PM,职业,chen,4,4,4,2,2,2,2,4,1,1,1,1,2,4,2,4
23-Dec,15:44:00PM,15:47:00PM,愤怒,chen,2,4,2,4,4,2,2,4,4,4,1,2,1,3,6,7
23-Dec,15:50:20PM,15:53:20PM,害怕,chen,4,2,4,4,4,4,4,2,1,1,2,1,1,3,2,6
23-Dec,15:57:05PM,16:00:05PM,悲伤,chen,2,4,4,4,2,4,4,2,4,2,1,2,1,3,1,2
