Date,StartTime,EndTime,Topic,Partner,Excite,Serious,Smooth,Bright,Eminet,Close,Equal,Relax,Sadness,Excited,Fear,Disgust,Joy,Unhappy-Happy,Calm-Excited,Controlled-Incontrol
24-Dec,14:25:10PM,14:28:10PM,爱好,Sen,2,5,1,2,4,2,1,4,1,4,1,1,4,8,7,8
24-Dec,14:32:00PM,14:35:00PM,悲伤,Sen,2,4,1,2,4,2,2,5,3,4,1,1,4,7,8,7
24-Dec,14:44:35PM,14:47:35PM,喜欢的类型,Sen,2,2,4,2,4,2,1,3,1,4,2,1,4,7,9,7
24-Dec,14:51:00PM,14:54:00PM,旅行,Sen,2,5,1,1,4,3,2,5,1,4,1,1,5,8,8,7
24-Dec,14:56:30PM,14:59:30PM,丁克,Sen,2,3,1,2,2,4,1,4,1,3,1,1,4,7,6,8
