Date,StartTime,EndTime,Topic,ID,Partner,Excite,Serious,Smooth,Bright,Eminet,Close,Equal,Relax,Sadness,Excited,Fear,Disgust,Joy,Unhappy-Happy,Calm-Excited,Controlled-Incontrol
24-Dec,15:44:30PM,15:45:30PM,喜欢的类型,0_0,Yoka,1,5,1,1,4,1,1,4,1,5,1,1,5,8,4,9
24-Dec,15:45:30PM,15:46:30PM,喜欢的类型,0_1,Yoka,1,5,1,1,4,1,1,4,1,5,1,1,5,8,4,9
24-Dec,15:46:30PM,15:47:30PM,喜欢的类型,0_2,Yoka,1,5,1,1,4,1,1,4,1,5,1,1,5,8,4,9
24-Dec,15:55:00PM,15:58:30PM,旅行,1_0,Yoka,2,5,1,2,1,1,1,5,1,3,1,1,4,8,5,8
24-Dec,15:55:00PM,15:58:30PM,旅行,1_1,Yoka,2,5,1,2,1,1,1,5,1,3,1,1,4,8,5,8
24-Dec,15:55:00PM,15:58:30PM,旅行,1_2,Yoka,2,5,1,2,1,1,1,5,1,3,1,1,4,8,5,8
24-Dec,16:03:00PM,16:07:07PM,悲伤,2_0,Yoka,4,1,1,4,4,2,1,2,5,1,1,1,3,2,3,5
24-Dec,16:03:00PM,16:07:07PM,悲伤,2_1,Yoka,4,1,1,4,4,2,1,2,5,1,1,1,3,2,3,5
24-Dec,16:03:00PM,16:07:07PM,悲伤,2_2,Yoka,4,1,1,4,4,2,1,2,5,1,1,1,3,2,3,5
24-Dec,16:10:00PM,16:11:00PM,丁克,3_0,Yoka,2,1,1,2,1,2,2,5,1,4,1,1,4,7,5,7
24-Dec,16:11:00PM,16:12:00PM,丁克,3_1,Yoka,2,1,1,2,1,2,2,5,1,4,1,1,4,7,5,7
24-Dec,16:12:00PM,16:13:00PM,丁克,3_2,Yoka,2,1,1,2,1,2,2,5,1,4,1,1,4,7,5,7
