Date,StartTime,EndTime,Topic,Partner,Excite,Serious,Smooth,Bright,Eminet,Close,Equal,Relax,Sadness,Excited,Fear,Disgust,Joy,Unhappy-Happy,Calm-Excited,Controlled-Incontrol
24-Dec,14:25:10PM,14:28:33PM,爱好,Sun,4,5,1,2,1,5,1,4,1,2,1,1,2,7,1,1
24-Dec,14:32:00PM,14:35:13PM,悲伤,Sun,2,5,2,1,2,4,1,5,1,2,1,1,4,6,6,2
24-Dec,14:44:35PM,14:47:46PM,喜欢的类型,Sun,5,4,4,2,2,4,1,4,1,2,1,3,1,2,3,3
24-Dec,14:51:00PM,14:54:00PM,旅行,Sun,2,5,2,1,4,2,1,5,1,4,1,1,5,9,7,6
24-Dec,14:56:30PM,14:59:36PM,丁克,Sun,4,2,2,4,2,2,1,4,1,2,1,1,2,7,6,4
