HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,Time
760.9429280397022,167.56407373672718,,,,,,,218.387445048049,219.09850001776613,0.2202058361569851,0.28699582715177635,723.0769230769231,114.04615384615381,0.1577234042553191,153.8461538461538,50.32258064516129,70.96774193548387,17.22222222222222,210.9375,,,0.05615454062949313,0.0839841743124183,0.006995761103149414,0.668632407108036,0.3816545390238481,0.5707987452695833,-2.4771268989311688,2021-12-24 15:55:00
759.8126232741616,166.90614936970476,,,,,,,217.78001547500622,218.48449703050207,0.21966751309089577,0.28662331843942673,723.0769230769231,114.04615384615381,0.1577234042553191,153.8461538461538,50.0,71.15384615384616,17.333333333333332,210.9375,,,0.05326182506046924,0.07940936002037881,0.006965307170385045,0.6707247740921306,0.38143198960226604,0.5686862992627028,-2.533139033289223,2021-12-24 15:55:01
759.3688362919132,166.89064388987362,,,,,,,217.80893683296415,218.5148226073003,0.21977547130432706,0.28682891162159174,723.0769230769231,114.04615384615381,0.1577234042553191,153.8461538461538,50.641025641025635,71.15384615384616,17.333333333333332,210.9375,,,0.051011626176091326,0.07592820451144126,0.0069769035465278755,0.6718402799634835,0.3809204762037648,0.5669807059268148,-2.5779670626658278,2021-12-24 15:55:02
758.3126550868486,166.44669997567323,,,,,,,217.17802661231252,217.8861360119626,0.2194961390386005,0.28639641598416865,723.0769230769231,114.04615384615381,0.1577234042553191,153.8461538461538,50.32258064516129,70.96774193548387,17.22222222222222,210.9375,,,0.04912312428802327,0.07305114277550172,0.007048802041547281,0.6724484028810717,0.3801420646346116,0.5653103836754044,-2.616595497163756,2021-12-24 15:55:03
758.8264299802761,165.99846720518786,,,,,,,216.5080590762626,217.20981850401455,0.21875683377225355,0.2853196073862243,723.0769230769231,114.04615384615381,0.1577234042553191,153.8461538461538,50.0,71.15384615384616,17.333333333333332,210.9375,,,0.047161110535051634,0.07014989016445959,0.007186070079342219,0.6722905827006571,0.3788130133505296,0.5634661902131674,-2.6571210381589188,2021-12-24 15:55:04
758.2840236686391,166.02659970249192,,,,,,,216.42605362199473,217.12312313871058,0.21895041240515906,0.2854155525721195,719.2307692307693,114.04615384615381,0.15856684491978604,153.8461538461538,50.0,71.15384615384616,17.333333333333332,210.9375,,,0.04590568202438737,0.06837202688967849,0.007313208031501059,0.6714102844787441,0.3775420333818039,0.562311960524871,-2.6827915016032446,2021-12-24 15:55:05
757.5936883629191,165.56020958057394,,,,,,,216.49218947712666,217.1903821185769,0.21853430423678988,0.2857629264902453,719.2307692307693,114.04615384615381,0.15856684491978604,153.8461538461538,50.0,71.15384615384616,17.333333333333332,210.9375,,,0.04557237119709429,0.06800661326692661,0.007528985065662167,0.6701167578838589,0.37629539471326606,0.5615370609467486,-2.6881503246094955,2021-12-24 15:55:06
755.2670259676629,165.99200802265796,,,,,,,215.0938443030805,215.78655721357697,0.21977923345718126,0.28479178476976147,715.3846153846154,114.04615384615381,0.15941935483870964,153.8461538461538,50.318471337579616,71.3375796178344,17.444444444444443,210.9375,,,0.046205773271688615,0.06918712569551544,0.007861057773518056,0.6678377343645535,0.3748826771451029,0.5613379685737632,-2.670940478529499,2021-12-24 15:55:07
756.7554240631164,162.7904758675641,,,,,,,210.03821719346578,210.71303270524865,0.21511636480056037,0.2775509900751604,715.3846153846154,102.64153846153845,0.14347741935483868,153.8461538461538,50.0,71.7948717948718,17.333333333333332,210.9375,,,0.04347758309621008,0.06535429291248418,0.007446084970275791,0.6652597887399813,0.3739107800838837,0.5620522785423121,-2.7279321499832556,2021-12-24 15:55:08
755.7692307692307,162.05312083428717,,,,,,,209.87457511119948,210.55485991327984,0.21442143214714843,0.277696638823979,715.3846153846154,102.64153846153845,0.14347741935483868,148.0769230769231,50.0,71.7948717948718,17.333333333333332,210.9375,,,0.0407770973408058,0.061506694299154854,0.006893567630478001,0.6629700686314742,0.3734940798467067,0.5633649202560322,-2.788609259700677,2021-12-24 15:55:09
754.2871141597255,161.75490814710153,,,,,,,209.3920149643122,210.06540275925124,0.21444739690044448,0.2776025349413194,715.3846153846154,102.64153846153836,0.14347741935483857,146.1538461538462,49.681528662420384,71.3375796178344,15.7,210.9375,,,0.03650715989658125,0.05529340107943895,0.005904127809318178,0.6602444267107412,0.37364798302350805,0.5659237214390095,-2.895101707059911,2021-12-24 15:55:10
753.6501714845663,161.92296927239715,,,,,,,209.36937049862124,210.04178233204829,0.21485163196265936,0.2778071025794344,707.6923076923077,102.64153846153836,0.14503695652173898,146.1538461538462,49.681528662420384,70.70063694267516,14.272727272727273,210.9375,,,0.03463157186692774,0.05258106960481457,0.005286910162801894,0.6586319397305814,0.37439718631019275,0.5684467510994727,-2.945399117460251,2021-12-24 15:55:11
753.0132288094072,161.9361583724726,,,,,,,209.30142240202636,209.9724202018276,0.21505088114920717,0.2779518531606063,707.6923076923077,102.64153846153836,0.14503695652173898,146.1538461538462,49.044585987261144,70.70063694267516,14.272727272727273,210.9375,,,0.033591486599031786,0.05106747092346746,0.004758421782183362,0.6577863753890192,0.37567066783037184,0.5711134828662235,-2.97460756131371,2021-12-24 15:55:12
